Shape_Leng,Shape_Area,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,geometry
13.812020362,2.98291707515,Central,MW2,,,,Malawi,MW,2018-09-03,2018-10-16,,"MULTIPOLYGON (((34.629385687000024 -13.898125878999963, 34.619754869000076 -13.896138151999935, 34.62971886300005 -13.903592137999965, 34.629385687000024 -13.898125878999963)), ((34.634621398000036 -13.616746364999926, 34.63337007300004 -13.590261276999968, 34.61510737800006 -13.580048634999969, 34.622099664000075 -13.599880129999974, 34.634621398000036 -13.616746364999926)), ((34.12632114000007 -12.397595611999975, 34.14837149700003 -12.411481326999933, 34.16243545900005 -12.401059937999946, 34.14797751900005 -12.401600677999966, 34.12632114000007 -12.397595611999975)), ((34.02146816000004 -12.234072347999927, 33.90906680200004 -12.208922862999941, 33.89614537400007 -12.190130219999958, 33.87434229400003 -12.193681484999956, 33.854320338000036 -12.162475804999929, 33.82582049900003 -12.167047466999975, 33.817093087000046 -12.18903747099995, 33.75505608100008 -12.23240139099994, 33.76085149700003 -12.302546031999952, 33.86249813400008 -12.32119685899994, 33.86943488900005 -12.36871879499995, 33.896216792000075 -12.377646897999966, 33.88180603300003 -12.414224297999965, 33.914603971000076 -12.482762818999959, 33.948210724000035 -12.46999709599993, 34.03039205500005 -12.515989624999975, 34.07494975800006 -12.491140762999976, 34.09389975000005 -12.506796835999978, 34.065285456000026 -12.529813993999937, 34.06418885800008 -12.57020717599994, 33.98320187000007 -12.58520946599998, 33.96661807400005 -12.618254414999967, 33.92352599800006 -12.61467261699994, 33.92302645600006 -12.633264502999964, 33.897406905000025 -12.62881286499993, 33.836544778000075 -12.70975627699994, 33.78838957600004 -12.713502551999966, 33.76216013700002 -12.68158794599998, 33.661881977000064 -12.73668949599994, 33.600607042000036 -12.662226173999954, 33.568519328000036 -12.676213110999981, 33.552164778000076 -12.595596764999982, 33.58201277300003 -12.553431220999926, 33.53348857900005 -12.462598740999965, 33.58424857700004 -12.44517704499998, 33.60430996600007 -12.37265605899995, 33.53590401200006 -12.376326121999966, 33.47334918400003 -12.416167426999948, 33.478799278000054 -12.45547600499998, 33.42914058100007 -12.47946869499998, 33.413838594000026 -12.516785286999948, 33.367815646000054 -12.554904507999936, 33.31900823700005 -12.525622753999926, 33.26855358800003 -12.539920516999928, 33.18197686600007 -12.639176267999972, 33.18456898000005 -12.605381045999934, 33.15066399700004 -12.593528895999953, 33.110822391000056 -12.610160307999934, 33.09102173200006 -12.592633449999937, 33.049694663000025 -12.61736783699996, 32.957889582000064 -12.76088041099996, 32.95771742200003 -12.847248640999965, 33.02614104700007 -12.910676940999963, 33.009570491000034 -12.990833017999933, 32.98327719900004 -13.026596574999928, 32.99246732300003 -13.050731944999939, 32.973676168000054 -13.10608084599994, 32.97688494700003 -13.151990564999949, 33.01307432200008 -13.21575960399997, 32.98114592200005 -13.227026274999957, 32.971364710000046 -13.25640459899995, 32.94605566800004 -13.266202604999933, 32.91968204600005 -13.341763790999948, 32.916014474000065 -13.415331907999928, 32.87261037500008 -13.46423303399996, 32.845351264000044 -13.457860964999952, 32.84807460800005 -13.510534289999953, 32.74432722500006 -13.580346518999932, 32.68784963100006 -13.569078961999935, 32.67397015000006 -13.619588833999956, 32.73758223800007 -13.647857589999944, 32.759782433000055 -13.637183149999942, 32.793971474000045 -13.649827727999934, 32.79696540200007 -13.675935009999932, 32.845447517000025 -13.71940867099994, 32.77955600900003 -13.746096264999949, 32.770697564000045 -13.775095275999945, 32.80923915200003 -13.799785989999975, 32.812521686000025 -13.784109500999932, 32.840384363000055 -13.78590141099994, 32.90007753500004 -13.823918884999955, 32.96397878400006 -13.938002471999937, 33.003604084000074 -13.956342358999962, 32.99355217300007 -14.008180145999972, 33.032060913000066 -14.052203479999946, 33.065376650000076 -14.01989886499996, 33.06970254100003 -13.98507695799998, 33.107596845000046 -13.957729141999948, 33.13431039300008 -13.96131457699994, 33.14731117500003 -13.94102582599993, 33.18709716300003 -13.96189454499995, 33.20795635200005 -14.002313232999938, 33.23963049200006 -13.997880585999951, 33.261000257000035 -14.023221079999928, 33.298544297000035 -14.03473321399997, 33.31987389300008 -14.083206325999981, 33.298180124000055 -14.146617153999955, 33.34289595900003 -14.215301673999932, 33.381213725000066 -14.214095379999947, 33.441863424000076 -14.320057555999938, 33.46830794700003 -14.400493969999957, 33.52977580100003 -14.420734340999957, 33.56964711200004 -14.48048560899997, 33.60446147500005 -14.490072768999937, 33.627283625000075 -14.529893404999939, 33.62303200800005 -14.56105138099997, 33.666670374000034 -14.612790363999977, 33.71871321300006 -14.573588047999976, 33.70465397600003 -14.534194108999941, 33.70964471000008 -14.507363466999948, 33.72791550200003 -14.49722683899995, 33.79726151500006 -14.550803698999971, 33.85768382900005 -14.510630229999947, 33.877670539000064 -14.51945236299997, 33.88553041800003 -14.496405298999946, 33.93681748000006 -14.468605513999933, 34.086474914000064 -14.487064098999952, 34.088050932000044 -14.454530150999972, 34.17606850200008 -14.431118413999968, 34.26621413300006 -14.427912677999927, 34.300096464000035 -14.39627046499993, 34.357532570000046 -14.383436973999949, 34.39398682800004 -14.39490380899997, 34.46428014000003 -14.517120696999939, 34.51539246300007 -14.553258630999949, 34.54162931600007 -14.598633202999963, 34.550342003000026 -14.643140393999943, 34.51913434200003 -14.68228492999998, 34.58381880600007 -14.810821617999977, 34.564838301000066 -14.897286104999978, 34.62089066900006 -14.997373118999974, 34.57035129800005 -15.06726748999995, 34.59029330800007 -15.089109262999955, 34.56896356900006 -15.12396018499993, 34.57610264200002 -15.197277517999964, 34.672069547000035 -15.240237020999928, 34.69339374200007 -15.226683392999973, 34.78845178600005 -15.252086780999946, 34.805432379000024 -15.268330520999939, 34.81047886600004 -15.325114958999961, 34.83038741200005 -15.304420639999933, 34.83451302800006 -15.24246986999998, 34.90837766000004 -14.991151134999939, 34.89245502800003 -14.955484106999961, 34.939027467000074 -14.848499887999935, 34.964995843000054 -14.865494172999945, 34.97295838700006 -14.779753632999928, 34.95888196300007 -14.750580826999965, 34.91857246600006 -14.735958179999955, 34.92109087500006 -14.708153050999954, 34.77577572900003 -14.565933446999964, 34.79039152300004 -14.514948756999956, 34.75998989500005 -14.469727381999974, 34.73969124100006 -14.27582265899997, 34.68913564300004 -14.28646312899997, 34.68889718300005 -14.227833177999969, 34.61410052900004 -14.200095363999935, 34.59548951200003 -14.150217726999927, 34.564396644000055 -14.129904, 34.54787197700006 -14.094713704999947, 34.516829002000065 -13.968471339999951, 34.57336810500004 -13.910596616999953, 34.591716518000055 -13.857418787999961, 34.58274577700007 -13.83375852699993, 34.62085971700003 -13.773789394999937, 34.606816664000064 -13.757584158999975, 34.630517818000044 -13.711465542999974, 34.504682358000025 -13.581787946999953, 34.43481519200003 -13.58621341099996, 34.30324659200005 -13.380284287999928, 34.29822438700006 -13.325615819999939, 34.34596644700002 -13.26569234599998, 34.324820611000064 -13.084768863999955, 34.33443260900003 -13.023750475999975, 34.31155876100007 -12.961803636999946, 34.326792848000025 -12.918386006999981, 34.30251542000008 -12.942972182999938, 34.29827129000006 -12.875540865999938, 34.25608217000007 -12.825190073999977, 34.27492139000003 -12.756976780999935, 34.206006899000045 -12.697439208999981, 34.178063233000046 -12.637341215999982, 34.17192741800005 -12.57769591799996, 34.19822549400004 -12.527427904999968, 34.17145281000006 -12.413317458999927, 34.16676320900007 -12.406864033999966, 34.14332979200003 -12.41340133999995, 34.090532050000036 -12.399215530999982, 34.09456529300007 -12.384542825999972, 34.05925583800007 -12.349230124999963, 34.014788500000066 -12.258917179999969, 34.02146816000004 -12.234072347999927)))"
12.9447793714,2.2459427188,Northern,MW1,,,,Malawi,MW,2018-09-03,2018-10-16,,"MULTIPOLYGON (((34.75833567700005 -12.046855852999954, 34.72667093500007 -12.031776845999957, 34.70871889600005 -12.081813325999974, 34.731850087000055 -12.09699223299998, 34.75833567700005 -12.046855852999954)), ((34.61385309600007 -12.008983851999972, 34.62274542000006 -12.023098140999934, 34.621194252000066 -12.038086490999945, 34.627462028000025 -12.013497319999942, 34.61385309600007 -12.008983851999972)), ((34.02146816000004 -12.234072347999927, 34.02708914400006 -12.159356044999981, 34.06079981500005 -12.081830201999935, 34.056218037000065 -12.010579029999974, 34.09758981500005 -11.96228985099998, 34.18037244100003 -11.91834605899993, 34.166741451000064 -11.883709754999927, 34.176177180000025 -11.819221201999937, 34.23451219900005 -11.782897650999928, 34.25263846300004 -11.746932603999937, 34.30037717100004 -11.72765992199993, 34.32635030900008 -11.663184373999968, 34.27226119000005 -11.515598938999972, 34.27427779100003 -11.38820218799998, 34.25758092800004 -11.323851469999966, 34.222198750000075 -11.28405270299993, 34.217564207000066 -11.254857236999953, 34.23226562200006 -11.233132247999947, 34.20592591700006 -11.189313931999948, 34.23642617400003 -11.108254812999974, 34.21325798700008 -11.018217640999978, 34.214277279000044 -10.743485082999939, 34.18505374700004 -10.70428173099998, 34.197074730000054 -10.639791010999943, 34.17182290900007 -10.59070444799994, 34.17950166800006 -10.565067566999971, 34.230497514000035 -10.528179267999974, 34.20749437400008 -10.504766575999952, 34.21172220300008 -10.469747327999926, 34.26075944000007 -10.440540380999948, 34.27036611200003 -10.453505045999975, 34.248020232000044 -10.42093241799995, 34.24449089900003 -10.367144191999955, 34.19700321400006 -10.331823545999953, 34.17408418200006 -10.30398419599993, 34.17403271100005 -10.278330456999981, 34.10876869200007 -10.231917284999952, 34.001305039000044 -10.103038473999959, 33.999883271000044 -10.057953250999958, 33.93824056100004 -9.968106475999946, 33.94684387500007 -9.901413944999945, 33.90085306000003 -9.839067308999972, 33.90120322000007 -9.768878851999943, 33.88668906100003 -9.750413607999974, 33.927387202000034 -9.710875288999944, 33.90995427000007 -9.708236106999948, 33.91020909800005 -9.689080973999978, 33.77238035000005 -9.582464757999958, 33.721505524000065 -9.581335301999957, 33.69938846800005 -9.610131957999954, 33.62713282900006 -9.60069266399995, 33.585940949000076 -9.57699630999997, 33.55271158100004 -9.58574249999998, 33.515568116000054 -9.621660925999947, 33.44378468000008 -9.611893038999938, 33.390169757000024 -9.53048391599998, 33.35822148200003 -9.520162077999942, 33.33030964200003 -9.486823737999941, 33.30629245700004 -9.48115643799997, 33.27737904500003 -9.497822851999956, 33.24443456800003 -9.484859142999937, 33.20977128800007 -9.506118773999958, 33.151019037000026 -9.490546804999951, 33.06209886400006 -9.431719010999927, 33.00136068900002 -9.363869708999971, 32.94248180400007 -9.418315287999974, 32.944703752000066 -9.455897066999967, 32.950731562000044 -9.489662387999942, 32.983029128000055 -9.479969367999956, 33.02828188800004 -9.496692554999981, 33.03210994900007 -9.51921385999998, 32.99869830400007 -9.569658273999949, 33.02406853100007 -9.635774818999948, 33.065877697000076 -9.629139555999927, 33.08233227900007 -9.673048292999965, 33.100306044000035 -9.681762639999931, 33.12409733900006 -9.594047951999926, 33.154730474000075 -9.615435508999951, 33.18815341800007 -9.596786769999937, 33.219246275000046 -9.618385362999959, 33.231392378000066 -9.658156018999932, 33.21499234000004 -9.683102864999967, 33.231782536000026 -9.745934214999977, 33.290605682000034 -9.772353661999944, 33.305820238000024 -9.817707853999934, 33.351131261000035 -9.830832726999972, 33.38080458400003 -9.913032808999958, 33.355437090000066 -9.93140277599997, 33.32498859000003 -10.072355045999927, 33.35035963000007 -10.107014271999958, 33.393891207000024 -10.104324166999959, 33.438833428000066 -10.15641655099995, 33.51186856600003 -10.183153697999956, 33.54295046100003 -10.23442872299995, 33.56160315000005 -10.230770420999932, 33.539453157000025 -10.333819495999933, 33.557788928000036 -10.344921453999973, 33.549510584000075 -10.369055986999967, 33.56306437500007 -10.375987338999948, 33.57364798300006 -10.436553859999947, 33.63363594200007 -10.457024234999949, 33.627133694000065 -10.489911309999968, 33.65297689700003 -10.522796593999942, 33.67689508600006 -10.524654644999941, 33.67752410200006 -10.570676565999975, 33.710135629000035 -10.566092123999965, 33.68312847400006 -10.606649140999934, 33.64802331900006 -10.620985301999951, 33.61360775600008 -10.661289944999965, 33.59773983700006 -10.656545544999972, 33.53139030500006 -10.74028427899998, 33.53076758000003 -10.76237931999998, 33.46999200800008 -10.796020969999972, 33.463939355000036 -10.813529943999981, 33.396052878000035 -10.80482471299996, 33.358019281000054 -10.825708360999954, 33.334225907000075 -10.819811251999965, 33.31331220800007 -10.863416090999976, 33.287413686000036 -10.876347137999971, 33.26435210200003 -10.865614541999946, 33.24374641500003 -10.89218475399997, 33.249304952000045 -10.907555062999961, 33.278506410000034 -10.898712043999979, 33.30885169800007 -10.939263098999959, 33.29865683000003 -10.998818335999943, 33.37886726900007 -11.14251599499994, 33.407313346000024 -11.156903457999931, 33.378742500000044 -11.233305954999935, 33.31038454000003 -11.32928455299998, 33.31769496700008 -11.359699689999957, 33.288915505000034 -11.371449908999978, 33.29898163100006 -11.429762358999938, 33.27544545200004 -11.43411733299996, 33.24550672600003 -11.397209569999973, 33.226018761000034 -11.426255455999978, 33.24808676400005 -11.460811520999926, 33.238659935000044 -11.489333981999948, 33.25434487900003 -11.526833641999929, 33.22525097700003 -11.547504211999978, 33.220048451000025 -11.589063536999959, 33.26686273200005 -11.574355480999941, 33.310662980000075 -11.590128941999978, 33.31941207500006 -11.766711088999955, 33.33564995300003 -11.792592690999982, 33.30472344800006 -11.866358150999929, 33.32501001400004 -11.906912972999976, 33.31081113700003 -11.988128754999934, 33.25677411700008 -12.137840438999945, 33.30790351400003 -12.162268173999962, 33.31051053700003 -12.245199826999965, 33.33112183500003 -12.25643439299995, 33.367225946000076 -12.34838308999997, 33.47942704400003 -12.323440348999952, 33.53680224300007 -12.332159351999962, 33.54920694800006 -12.363015755999982, 33.537489133000065 -12.378321446999962, 33.60430996600007 -12.37265605899995, 33.58424857700004 -12.44517704499998, 33.53348857900005 -12.462598740999965, 33.58201277300003 -12.553431220999926, 33.552164778000076 -12.595596764999982, 33.556411567000055 -12.647664228999929, 33.568519328000036 -12.676213110999981, 33.600607042000036 -12.662226173999954, 33.661881977000064 -12.73668949599994, 33.76216013700002 -12.68158794599998, 33.78838957600004 -12.713502551999966, 33.836544778000075 -12.70975627699994, 33.897406905000025 -12.62881286499993, 33.92302645600006 -12.633264502999964, 33.92352599800006 -12.61467261699994, 33.96661807400005 -12.618254414999967, 33.98320187000007 -12.58520946599998, 34.06418885800008 -12.57020717599994, 34.065285456000026 -12.529813993999937, 34.09389975000005 -12.506796835999978, 34.08321415000006 -12.490755057999934, 34.03039205500005 -12.515989624999975, 33.948210724000035 -12.46999709599993, 33.914603971000076 -12.482762818999959, 33.88180603300003 -12.414224297999965, 33.896216792000075 -12.377646897999966, 33.86943488900005 -12.36871879499995, 33.86249813400008 -12.32119685899994, 33.791175741000075 -12.315390600999933, 33.78762807500004 -12.29969419799994, 33.77306455200005 -12.308787226999982, 33.75450915000005 -12.292237098999976, 33.757263194000075 -12.22719587399996, 33.817093087000046 -12.18903747099995, 33.82582049900003 -12.167047466999975, 33.86505277500004 -12.163156767999965, 33.87434229400003 -12.193681484999956, 34.02146816000004 -12.234072347999927)))"
13.2745349023,2.77272823587,Southern,MW3,,,,Malawi,MW,2018-09-03,2018-10-16,,"MULTIPOLYGON (((34.84715449300006 -13.99789862299997, 34.83959658600003 -13.976427885999954, 34.81728559900006 -13.966880053999944, 34.82530054400007 -13.981108957999936, 34.84715449300006 -13.99789862299997)), ((34.58387415400006 -15.207639321999977, 34.602319599000054 -15.232959612999935, 34.60207152400005 -15.267097770999953, 34.57075494700007 -15.306734432999974, 34.57501802500008 -15.321034218999955, 34.55594105800003 -15.336076225999932, 34.541619430000026 -15.325375047999955, 34.52164829000003 -15.345567782999979, 34.51484565800007 -15.405916913999931, 34.43941156900007 -15.425633922999964, 34.42592367900005 -15.488601406999976, 34.43833277300007 -15.57728663499995, 34.45704049200003 -15.604834126999947, 34.43374686300007 -15.616330421999976, 34.43755336800007 -15.654772397999977, 34.39499280900003 -15.681407964999948, 34.36410514200003 -15.73855855499994, 34.32711040800007 -15.742090436999945, 34.27219004900007 -15.792202965999934, 34.24848561500005 -15.840715651999972, 34.257352070000024 -15.915341745999967, 34.30546654900007 -15.927877235999972, 34.35416853600003 -15.963739269999962, 34.37618992800003 -16.010403933999953, 34.42535470900003 -16.03874273799994, 34.43640582300003 -16.06158921699995, 34.389763336000044 -16.132393934999982, 34.404537737000055 -16.159853948999967, 34.394973632000074 -16.182380730999967, 34.43146648100003 -16.26135482799998, 34.49032198900005 -16.292684305999956, 34.524398922000046 -16.27751146399993, 34.57130997200005 -16.312549236999928, 34.59515533300004 -16.414932929999964, 34.64602036800005 -16.447904618999928, 34.67691030800006 -16.438482964999935, 34.69015639700007 -16.500910529999942, 34.725474957000074 -16.494197001999964, 34.75178036700004 -16.509502847999954, 34.78190393500006 -16.58251861699995, 34.84213920600007 -16.603544945999943, 34.85994550700008 -16.674250101999974, 34.911571525000056 -16.693726089999927, 34.92081657800003 -16.744528555999977, 34.98197261200005 -16.745391265999956, 34.98893189100005 -16.785481172999937, 35.04126964300008 -16.825269109999965, 35.126221771000075 -16.814966410999943, 35.16058559900006 -16.84134512199995, 35.14663706300007 -16.86978258399995, 35.16956185300006 -16.937040321999973, 35.14935371200005 -16.937028134999935, 35.136117529000046 -16.967133915999966, 35.06313799700007 -16.991167701999927, 35.05209144600008 -17.00834586899998, 35.06412285300007 -17.018772128999956, 35.05663086100003 -17.044800101999954, 35.10890209300004 -17.08532539099997, 35.07792815300007 -17.10476234099997, 35.090595981000035 -17.12238913599998, 35.30662847900004 -17.123108100999957, 35.313923481000074 -17.05956112399997, 35.29952614300004 -17.058947904999968, 35.291959217000056 -17.029457890999936, 35.30488170000007 -16.97902258499994, 35.295742450000034 -16.96077416399993, 35.269757662000075 -16.95745150999994, 35.264506005000044 -16.936637515999962, 35.28408155400007 -16.893586623999965, 35.27267442800007 -16.890199490999976, 35.31440780300005 -16.830318628999976, 35.29091304800005 -16.792956883999977, 35.28904420400005 -16.70967330299993, 35.235625191000054 -16.667260557999953, 35.23120725000007 -16.647790053999927, 35.17020032200003 -16.61925638799994, 35.14543223100003 -16.554374477999943, 35.25828387700005 -16.476365615999953, 35.26501286400003 -16.390532448999977, 35.30031252900005 -16.344645253999943, 35.278293113000075 -16.31893406399996, 35.293009 -16.239266157999964, 35.406527750000066 -16.121954621999976, 35.43218589700007 -16.110073805999946, 35.479846922000036 -16.116756444999965, 35.525331798000025 -16.16376272699995, 35.561558149000064 -16.125862549999965, 35.594080064000025 -16.13066759999998, 35.673021591000065 -16.092309288999957, 35.708889698000064 -16.09634628799995, 35.81675281500003 -16.02624288499993, 35.80630600300003 -15.952437219999979, 35.853230445000065 -15.415837189999934, 35.78987083800007 -15.167385360999958, 35.91841715700008 -14.893233263999946, 35.871868634000066 -14.892837260999954, 35.87181322200007 -14.672673606999979, 35.518909362000045 -14.259072812999932, 35.48779011600004 -14.16702401599997, 35.23168833100004 -13.883441335999976, 35.088221264000026 -13.69520826799993, 34.86783070900003 -13.480862857999966, 34.86801483100004 -13.527958766999973, 34.85133427100004 -13.552214463999974, 34.85546250900006 -13.654666214999963, 34.837834083000075 -13.676913616999968, 34.85090235000007 -13.70975081499995, 34.885397158000046 -13.731840662999957, 35.00967583600004 -13.722880134999969, 35.062019545000055 -13.735479915999974, 35.08354691400007 -13.821329644999935, 35.110343030000024 -13.858042415999932, 35.122340087000055 -13.960394975999975, 35.18142216800004 -14.042733614999975, 35.18045293200004 -14.120434969999963, 35.198497289000045 -14.167384366999954, 35.224041284000066 -14.18699149799994, 35.22690878800006 -14.25060390799996, 35.296035121000045 -14.365655182999944, 35.23244834800005 -14.419663971999967, 35.22135901000007 -14.387637687999927, 35.17993391400006 -14.368017693999946, 35.13928818900007 -14.300870158999942, 35.11336742000003 -14.294324725999957, 35.089643626000054 -14.264587467999945, 35.07722482600008 -14.213015949999942, 35.04484698600004 -14.201140620999979, 35.03837851600008 -14.171546103999958, 35.007691978000025 -14.180064809999976, 35.000223246000076 -14.159866343999965, 34.96472662900004 -14.166069943999958, 34.941627777000065 -14.152575613999943, 34.91388484200007 -14.039450707999947, 34.85061590000004 -13.994763226999964, 34.82201435400003 -14.03685246699996, 34.86489527600003 -14.105790532999947, 34.81080750900003 -14.147633086999974, 34.80921629000005 -14.251092381999968, 34.736983777000034 -14.279873419999944, 34.75488917700005 -14.432881738999981, 34.79039152300004 -14.514948756999956, 34.77577572900003 -14.565933446999964, 34.92109087500006 -14.708153050999954, 34.91857246600006 -14.735958179999955, 34.95888196300007 -14.750580826999965, 34.974662538000075 -14.792196140999977, 34.964995843000054 -14.865494172999945, 34.939027467000074 -14.848499887999935, 34.89245502800003 -14.955484106999961, 34.90837766000004 -14.991151134999939, 34.81839170600006 -15.320075780999957, 34.80382251700007 -15.31668751799998, 34.81225623600005 -15.295635199999936, 34.78845178600005 -15.252086780999946, 34.69339374200007 -15.226683392999973, 34.672069547000035 -15.240237020999928, 34.58387415400006 -15.207639321999977)))"
